bits,group,rb,rc,rdt,layer_mode,ppl
4,64,4,16,36,all,580.1687
4,64,4,16,24,early,27.4594
4,64,4,16,24,mid,32.8229
4,64,4,16,24,late,218.2770
4,64,4,16,24,all,698.0353
4,64,4,8,48,early,32.7696
4,64,4,8,48,mid,39.5371
4,64,4,8,48,late,894.9409
4,64,4,8,48,all,285877.6562
4,64,4,8,36,early,33.6193
4,64,4,8,36,mid,40.4501
4,64,4,8,36,late,637.4088
4,64,4,8,36,all,138878.8438
4,64,4,8,24,early,34.8277
4,64,4,8,24,mid,41.4153
4,64,4,8,24,late,722.8281
4,64,4,8,24,all,146353.5625
4,64,4,4,48,early,34.5874
4,64,4,4,48,mid,44.8110
4,64,4,4,48,late,75242.0156
4,64,4,4,48,all,1899312.7500
4,64,4,4,36,early,35.5639
4,64,4,4,36,mid,45.4013
4,64,4,4,36,late,11092.2197
4,64,4,4,36,all,562937.5000
4,64,4,4,24,early,36.8657
4,64,4,4,24,mid,46.1666
4,64,4,4,24,late,10740.1973
4,64,4,4,24,all,673386.3125
4,128,16,16,48,early,25.2189
4,128,16,16,48,mid,25.3186
4,128,16,16,48,late,25.6473
4,128,16,16,48,all,25.9826
4,128,16,16,36,early,25.3577
4,128,16,16,36,mid,25.7449
4,128,16,16,36,late,111.5282
4,128,16,16,36,all,102.5150
4,128,16,16,24,early,25.7400
4,128,16,16,24,mid,26.5518
4,128,16,16,24,late,161.8759
4,128,16,16,24,all,119.5942
4,128,16,8,48,early,29.0001
4,128,16,8,48,mid,32.4216
4,128,16,8,48,late,46.3270
4,128,16,8,48,all,237.1104
4,128,16,8,36,early,29.6056
4,128,16,8,36,mid,33.3432
4,128,16,8,36,late,92.4038
4,128,16,8,36,all,276.2928
4,128,16,8,24,early,30.5058
4,128,16,8,24,mid,34.6324
4,128,16,8,24,late,128.6303
4,128,16,8,24,all,331.4262
4,128,16,4,48,early,32.0334
4,128,16,4,48,mid,38.5333
4,128,16,4,48,late,806.2615
4,128,16,4,48,all,6658.5723
4,128,16,4,36,early,32.8391
4,128,16,4,36,mid,39.4841
4,128,16,4,36,late,795.2292
4,128,16,4,36,all,5821.4736
4,128,16,4,24,early,33.9848
4,128,16,4,24,mid,40.4865
4,128,16,4,24,late,902.6622
4,128,16,4,24,all,7390.6953
4,128,8,16,48,early,25.9869
4,128,8,16,48,mid,27.4282
4,128,8,16,48,late,37.9307
4,128,8,16,48,all,95.1899
4,128,8,16,36,early,26.2926
4,128,8,16,36,mid,28.2472
4,128,8,16,36,late,109.8747
4,128,8,16,36,all,142.7419
4,128,8,16,24,early,26.7725
4,128,8,16,24,mid,29.2248
4,128,8,16,24,late,159.3545
4,128,8,16,24,all,183.1122
4,128,8,8,48,early,31.3439
4,128,8,8,48,mid,34.8456
4,128,8,8,48,late,191.8535
4,128,8,8,48,all,18671.8984
4,128,8,8,36,early,32.0879
4,128,8,8,36,mid,35.7963
4,128,8,8,36,late,238.8759
4,128,8,8,36,all,16726.7871
4,128,8,8,24,early,33.2237
4,128,8,8,24,mid,36.9827
4,128,8,8,24,late,315.1959
4,128,8,8,24,all,19693.6406
4,128,8,4,48,early,33.4608
4,128,8,4,48,mid,40.1713
4,128,8,4,48,late,3088.7554
4,128,8,4,48,all,47432.2812
4,128,8,4,36,early,34.3313
4,128,8,4,36,mid,41.1231
4,128,8,4,36,late,1829.8951
4,128,8,4,36,all,37541.0312
4,128,8,4,24,early,35.5648
4,128,8,4,24,mid,42.1408
4,128,8,4,24,late,2070.0574
4,128,8,4,24,all,50100.9609
4,128,4,16,48,early,26.5555
4,128,4,16,48,mid,30.8486
4,128,4,16,48,late,97.2980
4,128,4,16,48,all,500.7437
4,128,4,16,36,early,26.9210
4,128,4,16,36,mid,31.7190
4,128,4,16,36,late,158.7258
4,128,4,16,36,all,560.6575
4,128,4,16,24,early,27.4750
4,128,4,16,24,mid,32.8497
4,128,4,16,24,late,203.8602
4,128,4,16,24,all,672.2114
4,128,4,8,48,early,32.7858
4,128,4,8,48,mid,39.7084
4,128,4,8,48,late,961.1063
4,128,4,8,48,all,391995.4062
4,128,4,8,36,early,33.6026
4,128,4,8,36,mid,40.5767
4,128,4,8,36,late,665.6261
4,128,4,8,36,all,204008.2969
4,128,4,8,24,early,34.8409
4,128,4,8,24,mid,41.5220
4,128,4,8,24,late,728.3320
4,128,4,8,24,all,214288.5469
4,128,4,4,48,early,34.6793
4,128,4,4,48,mid,44.5181
4,128,4,4,48,late,60012.2031
4,128,4,4,48,all,1249012.3750
4,128,4,4,36,early,35.6223
4,128,4,4,36,mid,45.1089
4,128,4,4,36,late,9956.1436
4,128,4,4,36,all,463822.1562
4,128,4,4,24,early,36.9432
4,128,4,4,24,mid,45.8325
4,128,4,4,24,late,9686.7246
4,128,4,4,24,all,551667.1875
4,256,16,16,48,early,25.2285
4,256,16,16,48,mid,25.3041
4,256,16,16,48,late,25.7755
4,256,16,16,48,all,26.2886
4,256,16,16,36,early,25.4091
4,256,16,16,36,mid,25.8127
4,256,16,16,36,late,127.4136
4,256,16,16,36,all,114.1804
4,256,16,16,24,early,25.7736
4,256,16,16,24,mid,26.5716
4,256,16,16,24,late,186.0764
4,256,16,16,24,all,135.2329
4,256,16,8,48,early,28.9279
4,256,16,8,48,mid,32.3609
4,256,16,8,48,late,49.5853
4,256,16,8,48,all,297.1005
4,256,16,8,36,early,29.5805
4,256,16,8,36,mid,33.3013
4,256,16,8,36,late,89.6415
4,256,16,8,36,all,333.3517
4,256,16,8,24,early,30.4753
4,256,16,8,24,mid,34.4474
4,256,16,8,24,late,128.7435
4,256,16,8,24,all,406.8239
4,256,16,4,48,early,32.0215
4,256,16,4,48,mid,38.9975
4,256,16,4,48,late,917.2361
4,256,16,4,48,all,6769.1084
4,256,16,4,36,early,32.8937
4,256,16,4,36,mid,40.0315
4,256,16,4,36,late,919.4238
4,256,16,4,36,all,5682.9707
4,256,16,4,24,early,34.0480
4,256,16,4,24,mid,40.9470
4,256,16,4,24,late,987.6964
4,256,16,4,24,all,7231.4458
4,256,8,16,48,early,26.0046
4,256,8,16,48,mid,27.5570
4,256,8,16,48,late,38.4488
4,256,8,16,48,all,85.2667
4,256,8,16,36,early,26.3512
4,256,8,16,36,mid,28.4308
4,256,8,16,36,late,113.3535
4,256,8,16,36,all,132.9840
4,256,8,16,24,early,26.8567
4,256,8,16,24,mid,29.3310
4,256,8,16,24,late,171.3833
4,256,8,16,24,all,172.9392
4,256,8,8,48,early,31.4256
4,256,8,8,48,mid,34.9636
4,256,8,8,48,late,220.6287
4,256,8,8,48,all,23368.3828
4,256,8,8,36,early,32.2688
4,256,8,8,36,mid,35.9127
4,256,8,8,36,late,255.2612
4,256,8,8,36,all,20802.2559
4,256,8,8,24,early,33.3962
4,256,8,8,24,mid,36.9339
4,256,8,8,24,late,342.0770
4,256,8,8,24,all,23619.9316
4,256,8,4,48,early,33.5270
4,256,8,4,48,mid,40.9862
4,256,8,4,48,late,2921.1929
4,256,8,4,48,all,38559.0859
4,256,8,4,36,early,34.4593
4,256,8,4,36,mid,42.0128
4,256,8,4,36,late,1845.4619
4,256,8,4,36,all,27615.6035
4,256,8,4,24,early,35.6877
4,256,8,4,24,mid,42.8883
4,256,8,4,24,late,2002.8298
4,256,8,4,24,all,39041.5586
4,256,4,16,48,early,26.6325
4,256,4,16,48,mid,30.9540
4,256,4,16,48,late,94.8464
4,256,4,16,48,all,512.7422
4,256,4,16,36,early,27.0493
4,256,4,16,36,mid,31.9246
4,256,4,16,36,late,158.7332
4,256,4,16,36,all,581.9985
4,256,4,16,24,early,27.6401
4,256,4,16,24,mid,32.9841
4,256,4,16,24,late,208.2748
4,256,4,16,24,all,698.5248
4,256,4,8,48,early,32.7548
4,256,4,8,48,mid,39.9837
4,256,4,8,48,late,1036.5365
4,256,4,8,48,all,529359.1875
4,256,4,8,36,early,33.6575
4,256,4,8,36,mid,40.9080
4,256,4,8,36,late,717.7377
4,256,4,8,36,all,299141.8438
4,256,4,8,24,early,34.8683
4,256,4,8,24,mid,41.7734
4,256,4,8,24,late,776.9985
4,256,4,8,24,all,303638.0000
4,256,4,4,48,early,34.7493
4,256,4,4,48,mid,44.7227
4,256,4,4,48,late,51665.5117
4,256,4,4,48,all,708161.5625
4,256,4,4,36,early,35.7378
4,256,4,4,36,mid,45.4066
4,256,4,4,36,late,9063.4941
4,256,4,4,36,all,256850.1875
4,256,4,4,24,early,37.0373
4,256,4,4,24,mid,46.0665
4,256,4,4,24,late,8685.7324
4,256,4,4,24,all,335027.1250
